,y,y_dummy,y_hat
2016-05-19,156.0,199.9166883719848,158.2350848826086
2016-05-20,168.0,199.8999454484728,171.00515343656514
2016-05-21,165.0,199.88778614012574,154.75961437776274
2016-05-22,171.0,199.87449048991988,147.97929925066458
2016-05-23,174.0,199.8634885884187,155.14879819341357
2016-05-24,167.0,199.85363583086118,151.3169272469226
2016-05-25,149.0,199.8411225435518,155.66049599526184
2016-05-26,170.0,199.82176187236234,160.81419250844468
2016-05-27,184.0,199.81040768927744,163.35425295476318
2016-05-28,188.0,199.8043892622926,158.79018347787112
2016-05-29,141.0,199.7998966307941,151.23816367430948
2016-05-30,168.0,199.77752224090415,163.4714603573264
2016-05-31,153.0,199.76543263761678,158.26616030454804
2016-06-01,178.0,199.74764434068348,155.84509856782978
2016-06-02,178.0,199.7393737020295,158.08975844509374
2016-06-03,176.0,199.73110778046978,168.8751457083912
2016-06-04,162.0,199.72208626069005,158.54354668960428
2016-06-05,167.0,199.7077487136507,152.84588040560712
2016-06-06,168.0,199.69531939625995,162.386316694162
2016-06-07,148.0,199.6832771016565,160.13454911024016
2016-06-08,174.0,199.6636443278287,162.25074773259422
2016-06-09,146.0,199.65389740632176,160.85779909452071
2016-06-10,192.0,199.63352379804144,172.7306415289904
2016-06-11,194.0,199.63062572522517,161.40070705021253
2016-06-12,191.0,199.62848845981418,159.88417442016268
2016-06-13,175.0,199.62521389113869,168.47450528653127
2016-06-14,170.0,199.6158702319123,163.70471078812525
2016-06-15,168.0,199.60463507628563,164.51152900035532
2016-06-16,193.0,199.5926477312918,159.57357120802132
2016-06-17,182.0,199.59014767526932,173.8132166404137
2016-06-18,184.0,199.58347842496585,169.07511970442846
2016-06-19,171.0,199.57757111699587,160.37905882529176
2016-06-20,170.0,199.56674012547913,166.8608717721882
2016-06-21,188.0,199.55553635885326,166.552783010348
2016-06-22,160.0,199.55115843259497,166.33209330122534
2016-06-23,182.0,199.53617693318867,167.56019737593482
2016-06-24,194.0,199.52953569973548,175.98141880434142
2016-06-25,190.0,199.5274419717159,166.7340468751424
2016-06-26,166.0,199.52383514151646,164.83906655686116
2016-06-27,167.0,199.51114633184898,164.5620213281429
2016-06-28,183.0,199.49884315442915,168.18501770521394
2016-06-29,180.0,199.49260068634197,168.72247536363096
2016-06-30,204.0,199.4852269013273,170.18418730996535
2016-07-01,181.0,199.48693445544933,176.9732145072711
2016-07-02,152.0,199.47994374474584,181.2187133046909
2016-07-03,163.0,199.4619929153527,168.4783437234481
2016-07-04,142.0,199.4482102682481,167.10348784542285
2016-07-05,167.0,199.42649892649888,172.73516628322707
2016-07-06,172.0,199.41424632913393,167.40441010841167
2016-07-07,193.0,199.40388960592685,175.47723784405505
2016-07-08,199.0,199.40147076188305,172.87754576279826
2016-07-09,174.0,199.40131914905754,167.96201862393121
2016-07-10,163.0,199.39172831683214,182.21498343754575
2016-07-11,155.0,199.37799040504777,180.6855639891705
2016-07-12,184.0,199.36124083327758,171.19182361926988
2016-07-13,170.0,199.35544413862354,170.18251525169575
2016-07-14,182.0,199.34436870223843,177.94891964896175
2016-07-15,225.0,199.3378261263417,181.19621457592547
2016-07-16,179.0,199.34750448722184,171.5563834040552
2016-07-17,133.0,199.33983197421765,167.28019141996833
2016-07-18,192.0,199.31482166998606,169.4946321798631
2016-07-19,193.0,199.3120644812676,171.0900563156779
2016-07-20,192.0,199.30968571191346,167.15590671109885
2016-07-21,196.0,199.30693149725184,184.60017233615514
2016-07-22,181.0,199.30568571405453,202.6404608446795
2016-07-23,197.0,199.2987909171754,178.25436490116573
2016-07-24,180.0,199.2979252455817,163.3803463656697
2016-07-25,198.0,199.2906594604742,174.61215051955168
2016-07-26,228.0,199.29017361087492,179.54877683093062
2016-07-27,195.0,199.30097896518018,177.49667030013475
2016-07-28,167.0,199.29936053471346,184.9250786350212
2016-07-29,203.0,199.28720878131443,188.2065011753376
2016-07-30,238.0,199.2886053550284,188.4381391849343
2016-07-31,237.0,199.30316398407882,170.31011958864795
2016-08-01,199.0,199.3173383913042,184.00879372996937
2016-08-02,186.0,199.3172190911571,182.81023281873595
2016-08-03,185.0,199.3122135587041,178.3644853504762
2016-08-04,165.0,199.30683504928706,179.98641409675503
2016-08-05,203.0,199.2939450116958,186.6267589824281
2016-08-06,190.0,199.29533721867858,192.33687773092268
2016-08-07,194.0,199.29184601221155,181.97575352455144
2016-08-08,195.0,199.28985883759185,188.7231571134115
2016-08-09,152.0,199.28824822792873,186.33498799768395
2016-08-10,169.0,199.27049738399936,186.5363327772164
2016-08-11,188.0,199.2591367169384,177.90163519405908
2016-08-12,205.0,199.254911900159,191.9924408619374
2016-08-13,192.0,199.2570672511625,183.35632234916298
2016-08-14,190.0,199.25434517042314,182.7866713623745
2016-08-15,199.0,199.250874574072,183.22437968850772
2016-08-16,211.0,199.250780507865,181.77989249522886
2016-08-17,213.0,199.25518508874296,186.40421031258478
2016-08-18,198.0,199.26033681846988,185.6039101293167
2016-08-19,189.0,199.25986451687032,198.38114118377072
2016-08-20,210.0,199.2560204312514,188.53253770663298
2016-08-21,170.0,199.26004514732884,189.51569196823806
2016-08-22,183.0,199.24908632892158,184.91064133452804
2016-08-23,169.0,199.24300166824798,187.81451643124407
2016-08-24,195.0,199.23167894205244,182.52513614278587
2016-08-25,189.0,199.23009493346473,190.34842098849575
2016-08-26,194.0,199.22626630512136,192.30490397607804
2016-08-27,207.0,199.22431073307084,184.36565180965718
2016-08-28,186.0,199.2272197077311,180.1640267931579
2016-08-29,205.0,199.2222721783846,181.20737339648508
2016-08-30,187.0,199.22443288437626,184.3827373623778
2016-08-31,213.0,199.21986214858106,188.89800453571314
2016-09-01,228.0,199.22501360198345,190.9709342680161
2016-09-02,196.0,199.2357685959651,192.43079958388546
2016-09-03,184.0,199.23455941487543,193.67492254736806
2016-09-04,177.0,199.22886744423658,179.9491742042097
2016-09-05,178.0,199.22056379558353,190.31351079488454
2016-09-06,181.0,199.21263828156094,189.40810785274184
2016-09-07,173.0,199.20583744575745,188.01798787960095
2016-09-08,204.0,199.19605367221047,182.76931110578255
2016-09-09,185.0,199.1978468585963,181.81394677997068
2016-09-10,177.0,199.19254816598257,184.2169999381064
2016-09-11,187.0,199.1842673644281,178.9538672243111
2016-09-12,183.0,199.17972184405338,188.43654658389784
2016-09-13,187.0,199.17368688626,186.20394375072277
2016-09-14,215.0,199.16914700675736,187.45628023162612
2016-09-15,217.0,199.17504963650882,200.12028447426303
2016-09-16,173.0,199.18169453878784,184.8017130436259
2016-09-17,187.0,199.17193617332427,192.43631029689882
2016-09-18,178.0,199.16740032977162,179.4012700114165
2016-09-19,189.0,199.15951381698113,186.49000429081028
2016-09-20,208.0,199.15572930820218,180.46757023498063
2016-09-21,176.0,199.15902326376715,192.9361510610407
2016-09-22,215.0,199.15039953512678,197.93240091108467
2016-09-23,205.0,199.15630035436166,181.02421080462207
2016-09-24,163.0,199.15847556360995,183.145573444578
2016-09-25,197.0,199.14501874352675,179.2742362077977
2016-09-26,203.0,199.14422059701752,186.1151107048541
2016-09-27,185.0,199.1456550387597,188.69597339178054
2016-09-28,175.0,199.14039349699334,189.86437220936753
2016-09-29,169.0,199.1314160356706,194.89854183996428
2016-09-30,180.0,199.12021268336136,189.48459784395706
2016-10-01,213.0,199.11310479760544,174.7714450789756
2016-10-02,162.0,199.11826625280057,182.31510782908748
2016-10-03,201.0,199.10447276850002,185.9135041820156
2016-10-04,156.0,199.105177032751,186.74800250545738
2016-10-05,191.0,199.0891647084446,181.1274396112192
2016-10-06,180.0,199.086160376148,180.70827519681245
2016-10-07,197.0,199.07907305331992,189.72682455238515
2016-10-08,153.0,199.07830116802074,185.75260721856222
2016-10-09,151.0,199.06119712155896,177.93938031909178
2016-10-10,192.0,199.0433603440041,183.8773290999499
2016-10-11,173.0,199.04074685222525,175.46883063036665
2016-10-12,194.0,199.03108602979816,177.38643210606756
2016-10-13,174.0,199.0292198999651,181.70397798118353
2016-10-14,210.0,199.01993778615093,182.34998010001976
2016-10-15,191.0,199.02400899943012,180.20569472201407
2016-10-16,178.0,199.0210343899771,164.03828865946497
2016-10-17,191.0,199.01324305032182,184.15241473531563
2016-10-18,192.0,199.01027353279343,177.31325843070715
2016-10-19,155.0,199.0076761732037,186.88339508968716
2016-10-20,165.0,198.99137401496208,184.74781622302729
2016-10-21,193.0,198.97878461717877,185.72354415082833
2016-10-22,183.0,198.97657066249735,176.96580451254334
2016-10-23,174.0,198.97065560486593,173.46435382057064
2016-10-24,202.0,198.9614123490433,181.4159254013406
2016-10-25,189.0,198.9625369188623,176.80480736256143
2016-10-26,181.0,198.95885050372115,175.8673117363942
2016-10-27,206.0,198.95220645987962,173.8687781805933
2016-10-28,224.0,198.95481337444969,188.35819987499184
2016-10-29,147.0,198.96407564760997,182.3747968344551
2016-10-30,167.0,198.9448617168843,176.1663012444451
2016-10-31,188.0,198.93305215617568,187.25656883714856
2016-11-01,181.0,198.9290111093613,179.6731498137411
2016-11-02,198.0,198.92238545854485,178.22103947826602
2016-11-03,161.0,198.92204465475456,183.47470688055316
2016-11-04,196.0,198.90803577235528,193.18246965932974
2016-11-05,201.0,198.90696170558803,174.68729993071935
2016-11-06,165.0,198.9077346148548,172.12924511638937
2016-11-07,174.0,198.89521560632062,181.33816311167325
2016-11-08,137.0,198.88602578882106,176.95008812174035
2016-11-09,192.0,198.8631854028499,171.38945958070664
2016-11-10,181.0,198.86065286211084,172.5258881558596
2016-11-11,191.0,198.8540634310604,186.21140696990054
2016-11-12,178.0,198.85116632171662,171.7197593728102
2016-11-13,149.0,198.8434764208051,161.96615769399386
2016-11-14,163.0,198.82509755781803,182.06224281231383
2016-11-15,154.0,198.81189014858012,165.4389296277671
2016-11-17,201.0,198.7953726807775,160.26975745191203
2016-11-18,190.0,198.7961851470827,182.5636994613246
2016-11-19,171.0,198.79294410612945,161.39852076099086
2016-11-20,143.0,198.78270540872435,152.7299830780693
2016-11-21,187.0,198.76215929255173,172.65611354785653
2016-11-22,178.0,198.75782780321552,158.33066476667824
2016-11-23,172.0,198.75018500947348,183.94771944922124
2016-11-24,98.0,198.7403377114763,175.24852452446768
2016-11-25,184.0,198.70325992799764,184.52329453532613
2016-11-26,185.0,198.69784934476746,157.66679804684293
2016-11-27,151.0,198.6928096650968,149.18398445669706
2016-11-28,195.0,198.6752658690089,167.9997247145201
2016-11-29,174.0,198.6739141713741,157.6081600211889
2016-11-30,181.0,198.66484121157583,171.74248148674766
2016-12-01,198.0,198.6583467846598,200.09770505783177
2016-12-02,203.0,198.65810478988504,181.0987143360834
2016-12-03,195.0,198.65970048823502,171.95176198193187
2016-12-04,143.0,198.65835575169697,157.25347993767983
2016-12-05,156.0,198.63790815590286,183.19097048966714
2016-12-06,171.0,198.62224684895847,175.40762337172893
2016-12-07,160.0,198.6121027994363,179.38394705330649
2016-12-08,169.0,198.5979254163632,174.44166207852066
2016-12-09,149.0,198.58705980497692,183.2140875048627
2016-12-10,143.0,198.56885937928232,171.78827365811145
2016-12-11,119.0,198.54846713730825,155.9680335309751
2016-12-12,137.0,198.51928039464184,166.14766567259568
2016-12-13,140.0,198.49671279361667,162.4250743322169
2016-12-14,165.0,198.47525792004484,165.53868664724237
2016-12-15,145.0,198.4629824312586,154.2267336429439
2016-12-16,172.0,198.44338097115548,163.325761251449
2016-12-17,176.0,198.4336876496851,154.739864330553
2016-12-18,96.0,198.42546566410707,144.08960707426147
2016-12-19,145.0,198.38793343044486,157.06723892327747
2016-12-20,188.0,198.3683738285286,154.830812886636
2016-12-21,181.0,198.3645758893973,155.37286206537328
2016-12-22,176.0,198.3582164036293,140.49546594919056
2016-12-23,186.0,198.3500295796075,153.40082939245036
2016-12-24,147.0,198.34550824349924,157.24886916907042
2016-12-25,77.0,198.32671413360055,150.68659975477502
2016-12-26,155.0,198.28231277435674,150.5503705394525
2016-12-27,148.0,198.2664758505461,149.49456382525523
2016-12-28,171.0,198.24808679773815,151.23115481062487
2016-12-29,139.0,198.2381204163198,145.76040214520813
2016-12-30,167.0,198.2164571797441,160.26877902766327
2016-12-31,153.0,198.20504348424873,147.49661792383884
2017-01-01,179.0,198.18851815305368,148.98740970725976
2017-01-02,120.0,198.18150480577546,145.72601578644895
2017-01-03,147.0,198.15293491547553,154.3592532189585
2017-01-04,158.0,198.1342454982613,155.80132350718506
2017-01-05,131.0,198.1195845866637,156.77481658306286
2017-01-06,120.0,198.0950704944115,164.15427059261702
2017-01-07,120.0,198.06655303211664,148.27558961605015
2017-01-08,104.0,198.03805118727104,142.46967493960636
2017-01-09,156.0,198.00372446663323,133.80041627632926
2017-01-10,151.0,197.9883946401856,134.68486976266718
2017-01-11,146.0,197.97124871986435,147.03026671191458
2017-01-12,150.0,197.952288030802,143.0968680271007
2017-01-13,188.0,197.93479677126135,156.11045917175133
2017-01-14,133.0,197.93117357769054,142.08111553681852
2017-01-15,145.0,197.90749767119,141.76915235643048
2017-01-16,162.0,197.8882094839238,145.34406613743297
2017-01-17,184.0,197.87512830678364,144.19234163275453
2017-01-18,166.0,197.87007177314413,151.69972060153515
2017-01-19,168.0,197.8584594314523,152.98300853552547
2017-01-20,184.0,197.84758203275237,166.6484126379839
2017-01-21,191.0,197.84253829498772,151.28275229027923
2017-01-22,168.0,197.84004647477838,149.7419009029938
2017-01-23,196.0,197.82918172091894,159.82169602002728
2017-01-24,180.0,197.82851583751133,154.93595028381696
2017-01-25,187.0,197.82202684175607,163.97971968081652
2017-01-26,168.0,197.81808869516155,158.71980661336804
2017-01-27,175.0,197.80723983625842,171.9477056028353
2017-01-28,168.0,197.79894327756935,159.55131135949063
2017-01-29,125.0,197.78810532765937,154.3169943940467
2017-01-30,170.0,197.76163692572206,164.55894519323067
2017-01-31,166.0,197.75154362016823,156.65930964006245
2017-02-01,176.0,197.74000180133135,155.68130761879797
2017-02-02,163.0,197.73210065584664,148.97561185142695
