,y,y_hat
2017-06-09,186.0,188.47747721402814
2017-06-10,207.0,176.2617881221916
2017-06-11,197.0,167.11106038048376
2017-06-12,179.0,181.5083825692689
2017-06-13,204.0,182.9648477431114
2017-06-14,205.0,176.97882283573452
2017-06-15,196.0,180.83530431939832
2017-06-16,193.0,192.36755131475792
2017-06-17,198.0,190.56175710929003
2017-06-18,178.0,172.86926512015503
2017-06-19,173.0,177.82013127506588
2017-06-20,184.0,191.4587896486705
2017-06-21,191.0,184.51381407018027
2017-06-22,219.0,188.7904534231798
2017-06-23,205.0,188.04572480974446
2017-06-24,190.0,189.68242865654074
2017-06-25,177.0,179.0291650796472
2017-06-26,191.0,177.38616552082166
2017-06-27,194.0,189.88313393102072
2017-06-28,158.0,189.41456066101225
2017-06-29,196.0,196.0397437394051
2017-06-30,200.0,190.9387433624433
2017-07-01,199.0,185.26493842049624
2017-07-02,162.0,177.62891285998577
2017-07-03,214.0,176.88507639058167
2017-07-04,165.0,190.22272854209868
2017-07-05,179.0,184.44998828815932
2017-07-06,196.0,192.54678171680587
2017-07-07,175.0,192.0108010845429
2017-07-08,176.0,185.55120264007292
2017-07-09,190.0,174.14210216006504
2017-07-10,192.0,182.50659273542084
2017-07-11,200.0,182.38081627331965
2017-07-12,192.0,183.6455357020631
2017-07-13,211.0,196.65973939973074
2017-07-14,203.0,198.69248035234287
2017-07-15,217.0,190.36182842799622
2017-07-16,170.0,179.10394770027284
2017-07-17,239.0,190.70705815483092
2017-07-18,203.0,198.89562810000135
2017-07-19,208.0,190.54494797063964
2017-07-20,195.0,206.40540108197135
2017-07-21,214.0,197.7126605338316
2017-07-22,179.0,195.73952504739788
2017-07-23,181.0,187.32032060603427
2017-07-24,165.0,201.9607869593969
2017-07-25,224.0,196.48408660273716
2017-07-26,178.0,192.54324509155754
2017-07-27,216.0,191.28891309183396
2017-07-28,243.0,193.6497179486874
2017-07-29,167.0,200.52522681922503
2017-07-30,176.0,194.26295882631547
2017-07-31,213.0,197.13566521465242
2017-08-01,234.0,189.91196993230952
2017-08-02,180.0,191.6744947516352
2017-08-03,229.0,202.4805516731327
2017-08-04,304.0,206.8853724679803
2017-08-05,309.0,191.5832245415706
2017-08-06,225.0,215.4953695812872
2017-08-07,178.0,204.76477965082168
2017-08-08,196.0,188.6125001412351
2017-08-09,211.0,194.38589629608302
2017-08-10,197.0,199.34238929360194
2017-08-11,209.0,215.12822141046874
2017-08-12,206.0,200.226616885324
2017-08-13,164.0,185.88524392667338
2017-08-14,232.0,194.65186633833486
2017-08-15,235.0,204.94330643341925
2017-08-16,219.0,197.73450309442933
2017-08-17,194.0,202.98104911803642
2017-08-18,212.0,213.03441473557342
2017-08-19,222.0,205.58760945151363
2017-08-20,172.0,184.56077836730483
2017-08-21,191.0,202.94618025212293
2017-08-22,204.0,202.69579917754274
2017-08-23,185.0,202.71027306118592
2017-08-24,226.0,199.62070702936026
2017-08-25,184.0,212.2811741711123
2017-08-26,195.0,204.9937250035075
2017-08-27,176.0,184.67115541177344
2017-08-28,179.0,202.45791615212286
2017-08-29,170.0,198.92599899760623
2017-08-30,210.0,194.76734364416393
2017-08-31,142.0,195.1713494101943
2017-09-01,173.0,197.51259571483874
2017-09-02,178.0,189.01701982153696
2017-09-03,160.0,184.07395629372826
2017-09-04,135.0,186.44287346121553
2017-09-05,152.0,184.9915385591624
2017-09-06,159.0,186.41992829166472
2017-09-07,187.0,172.40023610933582
2017-09-08,165.0,178.5669178698156
2017-09-09,185.0,180.43025808954258
2017-09-10,171.0,170.3993018661943
2017-09-11,164.0,172.74731667794535
2017-09-12,192.0,178.70680615222278
2017-09-13,177.0,179.5929907585711
2017-09-14,203.0,185.2626177722474
2017-09-15,229.0,183.6142500154958
2017-09-16,193.0,183.5052394429718
2017-09-17,204.0,176.08381401931388
2017-09-18,190.0,181.17469173684452
2017-09-19,185.0,183.85331623801173
2017-09-20,183.0,186.56213543475485
2017-09-21,189.0,192.85403773974005
2017-09-22,193.0,187.3184927195441
2017-09-23,182.0,192.09569708794524
2017-09-24,178.0,182.4500067504656
2017-09-25,207.0,181.62948462200362
2017-09-26,188.0,183.62630768427786
2017-09-27,175.0,186.30126515237748
2017-09-28,177.0,193.72661705698192
2017-09-29,202.0,197.01913801011366
2017-09-30,176.0,188.2026145403986
2017-10-01,170.0,182.0668717874855
2017-10-02,193.0,188.75300112693668
2017-10-03,205.0,182.51295738593973
2017-10-04,192.0,182.71761223934928
2017-10-05,163.0,184.68220038951142
2017-10-06,197.0,200.20246013754138
2017-10-07,198.0,183.54146456188843
2017-10-08,156.0,181.62672746739165
2017-10-09,196.0,194.4639472802544
2017-10-10,185.0,186.17963793434558
2017-10-11,156.0,182.78689832850674
2017-10-12,208.0,182.83382347112143
2017-10-13,177.0,190.0545931130695
2017-10-14,151.0,186.31646151629664
2017-10-15,161.0,179.16842126772596
2017-10-16,214.0,182.94795574582005
2017-10-17,157.0,182.77049209530583
2017-10-18,190.0,178.48597472665944
2017-10-19,198.0,184.50013208122778
2017-10-20,232.0,190.5396037396759
2017-10-21,187.0,178.52841472404378
2017-10-22,173.0,178.71136228327197
2017-10-23,182.0,196.96752042267556
2017-10-24,191.0,186.10976760590736
2017-10-25,181.0,183.22280670108773
2017-10-26,182.0,186.42038292045183
2017-10-27,209.0,198.2172529485362
2017-10-28,174.0,182.70623778468322
2017-10-29,161.0,176.59889403573308
2017-10-30,155.0,189.98816809102942
2017-10-31,156.0,181.64440431657866
2017-11-01,162.0,179.59265565254466
2017-11-02,169.0,180.1918583913148
2017-11-03,216.0,183.09834383016016
2017-11-04,181.0,171.86269521170883
2017-11-05,162.0,171.07859161804086
2017-11-06,186.0,181.25971104503873
2017-11-07,173.0,172.65671006019508
2017-11-08,194.0,180.75621229707323
2017-11-09,169.0,185.1301008940131
2017-11-10,171.0,192.14247652983804
2017-11-11,170.0,179.91201117950482
2017-11-12,140.0,165.68394844086316
2017-11-13,170.0,175.70473960268583
2017-11-14,171.0,167.67133967553133
2017-11-15,182.0,168.92205999897462
2017-11-16,214.0,172.34359280099034
2017-11-17,179.0,185.6082368975134
2017-11-18,187.0,176.94631783947557
2017-11-19,148.0,158.71161262284156
2017-11-20,205.0,179.4256730012143
2017-11-21,163.0,177.36213796558152
2017-11-22,166.0,180.82504667850546
2017-11-23,120.0,174.57920200423544
2017-11-24,189.0,185.95458755892452
2017-11-25,184.0,169.5931834080268
2017-11-26,152.0,153.27751125856557
2017-11-27,202.0,175.17464649621465
2017-11-28,177.0,172.13048092965346
2017-11-29,195.0,175.06889596104173
2017-11-30,203.0,175.21403350960293
2017-12-01,223.0,184.19582897753963
2017-12-02,194.0,178.93817849276545
2017-12-03,158.0,153.5337125024105
2017-12-04,203.0,187.38561687692012
2017-12-05,182.0,176.46900141291223
2017-12-06,171.0,182.03403572352434
2017-12-07,144.0,176.56868271993127
2017-12-08,175.0,186.69000026393624
2017-12-09,163.0,175.96051071609415
2017-12-10,141.0,150.39653733362428
2017-12-11,190.0,174.69971104576285
2017-12-12,187.0,166.89102591934696
2017-12-13,176.0,175.42279142925275
2017-12-14,176.0,163.2187686255735
2017-12-15,174.0,182.87409342252298
2017-12-16,211.0,177.79955751871097
2017-12-17,173.0,145.0557575677441
2017-12-18,205.0,182.80361241527697
2017-12-19,218.0,179.12601336458593
2017-12-20,175.0,178.83717335269853
2017-12-21,202.0,172.1888001442251
2017-12-22,206.0,185.605402735628
2017-12-23,194.0,175.36566905715875
2017-12-24,134.0,152.58439823921128
2017-12-25,68.0,182.41547745052173
2017-12-26,124.0,182.37887099932945
2017-12-27,115.0,167.53312536235805
2017-12-28,161.0,151.15094885553134
2017-12-29,155.0,159.22133311955054
2017-12-30,144.0,158.47520917050147
