,y,y_hat,dummy
2016-07-26,228.0,182.80998354929852,217.4788255223038
2016-07-27,195.0,177.08680148438256,217.48080541964623
2016-07-28,167.0,187.08174719961826,217.47657572906868
2016-07-29,203.0,194.88988412295785,217.4670805116629
2016-07-30,238.0,187.07125565175934,217.46435960127891
2016-07-31,237.0,173.45689725943527,217.46822113576533
2016-08-01,199.0,178.0636508234102,217.47189321300996
2016-08-02,186.0,187.94225983576666,217.46842105263158
2016-08-03,185.0,175.88720254615072,217.46250704754746
2016-08-04,165.0,183.7964451853314,217.456407365652
2016-08-05,203.0,184.84491950284394,217.4465526958482
2016-08-06,190.0,187.30358336456166,217.4438392186326
2016-08-07,194.0,181.1373235694793,217.4386854460094
2016-08-08,195.0,188.61455559344196,217.4342846413819
2016-08-09,152.0,188.27174819627893,217.43007321193917
2016-08-10,169.0,186.9880788543565,217.4177927927928
2016-08-11,188.0,177.03543139983785,217.40870707449804
2016-08-12,205.0,186.4622570311688,217.4031894934334
2016-08-13,192.0,182.77043099646767,217.4008628775089
2016-08-14,190.0,187.08687953381897,217.39609902475618
2016-08-15,199.0,188.74841339375385,217.39096193512094
2016-08-16,211.0,182.38638197692023,217.3875140607424
2016-08-17,213.0,188.42987287000517,217.3863167760075
2016-08-18,198.0,184.69938878671684,217.38549475262369
2016-08-19,189.0,194.25902317500376,217.38186246955217
2016-08-20,210.0,189.38487663902023,217.37654552266767
2016-08-21,170.0,188.2919454213635,217.3751638883686
2016-08-22,183.0,183.32840201856203,217.36629213483147
2016-08-23,169.0,188.00907049254593,217.3598577045497
2016-08-24,195.0,184.65388760349936,217.3508049419693
2016-08-25,189.0,187.3551988900502,217.3466217480816
2016-08-26,194.0,189.4425437957513,217.34131736526948
2016-08-27,207.0,186.34846068197845,217.33695042095417
2016-08-28,186.0,183.8862986138625,217.33501683501683
2016-08-29,205.0,185.0891481485291,217.32915653637554
2016-08-30,187.0,186.97168516371684,217.3268511593119
2016-08-31,213.0,190.46765342554826,217.3211815292578
2016-09-01,228.0,191.40279318767986,217.3203738317757
2016-09-02,196.0,189.19532229858228,217.3223696505326
2016-09-03,184.0,195.34641226012988,217.31838565022423
2016-09-04,177.0,183.60230047341756,217.31216140481973
2016-09-05,178.0,194.20403350185484,217.30463205080315
2016-09-06,181.0,187.15659311875007,217.29729225023343
2016-09-07,173.0,189.95620109653663,217.29051530993277
2016-09-08,204.0,184.53406006174527,217.2822475266007
2016-09-09,185.0,181.34518377599787,217.27976857036208
2016-09-10,177.0,184.8147988811106,217.27374510169807
2016-09-11,187.0,179.21370206365506,217.26623134328358
2016-09-12,183.0,184.61225865726166,217.26058571162096
2016-09-13,187.0,183.46211991726477,217.25419619544945
2016-09-14,215.0,188.51599750516428,217.2485549132948
2016-09-15,217.0,194.30857321223706,217.24813571961224
2016-09-16,173.0,186.10169171904317,217.2480894687791
2016-09-17,187.0,190.69395719042558,217.23984345881476
2016-09-18,178.0,177.6105966794154,217.23420905533817
2016-09-19,189.0,189.58603373422443,217.2269001490313
2016-09-20,208.0,181.3594872545095,217.22164276401566
2016-09-21,176.0,192.29965113240058,217.21992551210428
2016-09-22,215.0,193.05974449180994,217.2122509774716
2016-09-23,205.0,182.10363097194468,217.21183916604616
2016-09-24,163.0,185.22920877283897,217.20956635026988
2016-09-25,197.0,181.5441005631982,217.19947897283217
2016-09-26,203.0,185.91231357815562,217.19572093023257
2016-09-27,185.0,185.4432524446247,217.19308035714286
2016-09-28,175.0,191.53233829400872,217.1870931746327
2016-09-29,169.0,200.08932697591644,217.17924879137226
2016-09-30,180.0,184.42979638139963,217.17029187581335
2016-10-01,213.0,174.8667148704404,217.16338289962826
2016-10-02,162.0,180.0527234915269,217.16260918044972
2016-10-03,201.0,184.62563503979197,217.1523597175771
2016-10-04,156.0,186.6448716547137,217.1493590934423
2016-10-05,191.0,177.7849720338385,217.1380014858841
2016-10-06,180.0,187.21776645620847,217.133147632312
2016-10-07,197.0,189.17403803805166,217.1262532491645
2016-10-08,153.0,184.83619676985134,217.12251717096714
2016-10-09,151.0,180.41259843415315,217.11061618411284
2016-10-10,192.0,182.8735769366586,217.09834848766005
2016-10-11,173.0,181.0526490796907,217.09369202226344
2016-10-12,194.0,177.14680832725716,217.0855128918568
2016-10-13,174.0,182.4065848522323,217.08123145400594
2016-10-14,210.0,184.20768640020688,217.0732430928982
2016-10-15,191.0,180.70743386792145,217.07193177604745
2016-10-16,178.0,158.5938219999644,217.06709916589435
2016-10-17,191.0,186.39633085548533,217.05985915492957
2016-10-18,192.0,177.63083745933935,217.0550305725403
2016-10-19,155.0,189.32223813534577,217.05038903297518
2016-10-20,165.0,180.85839753804675,217.03889609186888
2016-10-21,193.0,184.28425573748464,217.02925925925925
2016-10-22,183.0,178.2543585109488,217.02481022032956
2016-10-23,174.0,167.80858810176582,217.01851166234727
2016-10-24,202.0,184.23164492523284,217.0105496946141
2016-10-25,189.0,177.1117646732008,217.00777202072538
2016-10-26,181.0,173.76349401291546,217.00259019426457
2016-10-27,206.0,171.705352355019,216.99593044765075
2016-10-28,224.0,183.31766272958012,216.99389680044388
2016-10-29,147.0,182.4518589226669,216.99519230769232
2016-10-30,167.0,174.6125425069142,216.9822518025513
2016-10-31,188.0,186.43492607487397,216.97301293900185
2016-11-01,181.0,176.18665823843253,216.96765847347996
2016-11-02,198.0,178.900215464785,216.9610125646711
