,y,y_hat
2016-09-11,187.0,179.21370206365506
2016-09-12,183.0,184.61225865726166
2016-09-13,187.0,183.46211991726477
2016-09-14,215.0,188.51599750516428
2016-09-15,217.0,194.30857321223706
2016-09-16,173.0,186.10169171904317
2016-09-17,187.0,190.69395719042558
2016-09-18,178.0,177.6105966794154
2016-09-19,189.0,189.58603373422443
2016-09-20,208.0,181.3594872545095
2016-09-21,176.0,192.29965113240058
2016-09-22,215.0,193.05974449180994
2016-09-23,205.0,182.10363097194468
2016-09-24,163.0,185.22920877283897
2016-09-25,197.0,181.5441005631982
2016-09-26,203.0,185.91231357815562
2016-09-27,185.0,185.4432524446247
2016-09-28,175.0,191.53233829400872
2016-09-29,169.0,200.08932697591644
2016-09-30,180.0,184.42979638139963
2016-10-01,213.0,174.8667148704404
2016-10-02,162.0,180.0527234915269
2016-10-03,201.0,184.62563503979197
2016-10-04,156.0,186.6448716547137
2016-10-05,191.0,177.7849720338385
2016-10-06,180.0,187.21776645620847
2016-10-07,197.0,189.17403803805166
2016-10-08,153.0,184.83619676985134
2016-10-09,151.0,180.41259843415315
2016-10-10,192.0,182.8735769366586
2016-10-11,173.0,181.0526490796907
2016-10-12,194.0,177.14680832725716
2016-10-13,174.0,182.4065848522323
2016-10-14,210.0,184.20768640020688
2016-10-15,191.0,180.70743386792145
2016-10-16,178.0,158.5938219999644
2016-10-17,191.0,186.39633085548533
2016-10-18,192.0,177.63083745933935
2016-10-19,155.0,189.32223813534577
2016-10-20,165.0,180.85839753804675
2016-10-21,193.0,184.28425573748464
2016-10-22,183.0,178.2543585109488
2016-10-23,174.0,167.80858810176582
2016-10-24,202.0,184.23164492523284
2016-10-25,189.0,177.1117646732008
2016-10-26,181.0,173.76349401291546
2016-10-27,206.0,171.705352355019
2016-10-28,224.0,183.31766272958012
2016-10-29,147.0,182.4518589226669
2016-10-30,167.0,174.6125425069142
2016-10-31,188.0,186.43492607487397
2016-11-01,181.0,176.18665823843253
2016-11-02,198.0,178.900215464785
2016-11-03,161.0,182.34256480143364
2016-11-04,196.0,191.40459493336294
2016-11-05,201.0,177.76472308163028
2016-11-06,165.0,171.14759512646856
2016-11-07,174.0,184.21412855513745
2016-11-08,137.0,176.45525308745223
2016-11-09,192.0,174.23540395868653
2016-11-10,181.0,171.91849864334878
2016-11-11,191.0,187.3696698746298
2016-11-12,178.0,172.41532816550722
2016-11-13,149.0,163.2696494529778
